Container,CPU Utilisation,Memory Utilisation,Iteration
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-02,1664.0,36.0,1.0
jdk2-2-2-01,1890.0,37.0,1.0
jdk2-2-2-01,1939.0,41.0,1.0
jdk2-2-2-02,1577.0,37.0,1.0
jdk2-2-2-01,1939.0,41.0,1.0
jdk2-2-2-02,1577.0,37.0,1.0
jdk2-2-2-01,1939.0,41.0,1.0
jdk2-2-2-02,1577.0,37.0,1.0
jdk2-2-2-01,1939.0,41.0,1.0
jdk2-2-2-02,1577.0,37.0,1.0
jdk2-2-2-01,1939.0,41.0,1.0
jdk2-2-2-02,1577.0,37.0,1.0
jdk2-2-2-02,1577.0,37.0,1.0
jdk2-2-2-01,1939.0,41.0,1.0
jdk2-2-2-01,1939.0,41.0,1.0
jdk2-2-2-02,1577.0,37.0,1.0
jdk2-2-2-01,1939.0,41.0,1.0
jdk2-2-2-02,1577.0,37.0,1.0
jdk2-2-2-01,1939.0,41.0,1.0
jdk2-2-2-02,1577.0,37.0,1.0
jdk2-2-2-01,1939.0,41.0,1.0
jdk2-2-2-02,1577.0,37.0,1.0
jdk2-2-2-01,1939.0,41.0,1.0
jdk2-2-2-02,1577.0,37.0,1.0
jdk2-2-2-01,1939.0,41.0,1.0
jdk2-2-2-02,1577.0,37.0,1.0
jdk2-2-2-01,1939.0,41.0,1.0
jdk2-2-2-02,1577.0,37.0,1.0
jdk2-2-2-01,1939.0,41.0,1.0
jdk2-2-2-02,1577.0,37.0,1.0
jdk2-2-2-02,1577.0,37.0,1.0
jdk2-2-2-01,1939.0,41.0,1.0
jdk2-2-2-01,1939.0,41.0,1.0
